"GroupLevel","GroupID","MetricID","Numerator","Denominator","Metric","Score","Flag"
"Site","SITE4072","Analysis_srs0001",0,178,0,0,NA
"Site","SITE4155","Analysis_srs0001",0,178,0,0,NA
"Site","SITE4260","Analysis_srs0001",0,178,0,0,NA
"Site","SITE4264","Analysis_srs0001",0,178,0,0,NA
"Site","SITE4275","Analysis_srs0001",0,178,0,0,NA
"Site","SITE4314","Analysis_srs0001",34,178,19.1011235955056,19.1011235955056,NA
"Site","SITE4323","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","SITE4424","Analysis_srs0001",1,178,0.561797752808989,0.561797752808989,NA
"Site","SITE4485","Analysis_srs0001",2,178,1.12359550561798,1.12359550561798,NA
"Site","SITE4543","Analysis_srs0001",1,178,0.561797752808989,0.561797752808989,NA
"Site","SITE4590","Analysis_srs0001",0,178,0,0,NA
"Site","SITE4597","Analysis_srs0001",4,178,2.24719101123596,2.24719101123596,NA
"Site","SITE4612","Analysis_srs0001",0,178,0,0,NA
"Site","SITE4629","Analysis_srs0001",1,178,0.561797752808989,0.561797752808989,NA
"Site","SITE4671","Analysis_srs0001",0,178,0,0,NA
"Site","SITE4703","Analysis_srs0001",0,178,0,0,NA
"Site","SITE4744","Analysis_srs0001",0,178,0,0,NA
"Site","SITE4754","Analysis_srs0001",1,178,0.561797752808989,0.561797752808989,NA
"Site","SITE4874","Analysis_srs0001",24,178,13.4831460674157,13.4831460674157,NA
"Site","SITE4875","Analysis_srs0001",0,178,0,0,NA
"Site","SITE4959","Analysis_srs0001",1,178,0.561797752808989,0.561797752808989,NA
"Site","SITE4976","Analysis_srs0001",0,178,0,0,NA
"Site","SITE5033","Analysis_srs0001",1,178,0.561797752808989,0.561797752808989,NA
"Site","SITE5062","Analysis_srs0001",0,178,0,0,NA
"Site","SITE5217","Analysis_srs0001",0,178,0,0,NA
"Site","SITE5289","Analysis_srs0001",8,178,4.49438202247191,4.49438202247191,NA
"Site","SITE5384","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","SITE5425","Analysis_srs0001",0,178,0,0,NA
"Site","SITE5611","Analysis_srs0001",0,178,0,0,NA
"Site","SITE5895","Analysis_srs0001",0,178,0,0,NA
"Site","SITE6068","Analysis_srs0001",0,178,0,0,NA
"Site","SITE6123","Analysis_srs0001",0,178,0,0,NA
"Site","SITE6155","Analysis_srs0001",0,178,0,0,NA
"Site","SITE6184","Analysis_srs0001",0,178,0,0,NA
"Site","SITE6384","Analysis_srs0001",0,178,0,0,NA
"Site","SITE6405","Analysis_srs0001",0,178,0,0,NA
"Site","SITE6410","Analysis_srs0001",0,178,0,0,NA
"Site","SITE6440","Analysis_srs0001",0,178,0,0,NA
"Site","SITE6572","Analysis_srs0001",0,178,0,0,NA
"Site","SITE6603","Analysis_srs0001",4,178,2.24719101123596,2.24719101123596,NA
"Site","SITE6832","Analysis_srs0001",0,178,0,0,NA
"Site","SITE6900","Analysis_srs0001",0,178,0,0,NA
"Site","SITE6991","Analysis_srs0001",32,178,17.9775280898876,17.9775280898876,NA
"Site","SITE7004","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","SITE7011","Analysis_srs0001",1,178,0.561797752808989,0.561797752808989,NA
"Site","SITE7096","Analysis_srs0001",0,178,0,0,NA
"Site","SITE7184","Analysis_srs0001",0,178,0,0,NA
"Site","SITE7208","Analysis_srs0001",8,178,4.49438202247191,4.49438202247191,NA
"Site","SITE7246","Analysis_srs0001",0,178,0,0,NA
"Site","SITE7543","Analysis_srs0001",0,178,0,0,NA
"Site","SITE759","Analysis_srs0001",0,178,0,0,NA
"Site","SITE7604","Analysis_srs0001",1,178,0.561797752808989,0.561797752808989,NA
"Site","SITE7809","Analysis_srs0001",32,178,17.9775280898876,17.9775280898876,NA
"Site","SITE7838","Analysis_srs0001",32,178,17.9775280898876,17.9775280898876,NA
"Site","SITE7860","Analysis_srs0001",0,178,0,0,NA
"Site","SITE7983","Analysis_srs0001",32,178,17.9775280898876,17.9775280898876,NA
"Site","SITE8084","Analysis_srs0001",0,178,0,0,NA
"Site","SITE8091","Analysis_srs0001",33,178,18.5393258426966,18.5393258426966,NA
"Site","SITE8210","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","SITE8351","Analysis_srs0001",8,178,4.49438202247191,4.49438202247191,NA
"Site","SITE8354","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","SITE8361","Analysis_srs0001",0,178,0,0,NA
"Site","SITE8420","Analysis_srs0001",4,178,2.24719101123596,2.24719101123596,NA
"Site","SITE8517","Analysis_srs0001",17,178,9.55056179775281,9.55056179775281,NA
"Site","SITE8616","Analysis_srs0001",0,178,0,0,NA
"Site","SITE8625","Analysis_srs0001",0,178,0,0,NA
"Site","SITE8627","Analysis_srs0001",0,178,0,0,NA
"Site","SITE8633","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","SITE8764","Analysis_srs0001",1,178,0.561797752808989,0.561797752808989,NA
"Site","SITE8768","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","SITE8786","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","SITE8788","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","SITE8799","Analysis_srs0001",1,178,0.561797752808989,0.561797752808989,NA
"Site","SITE8835","Analysis_srs0001",0,178,0,0,NA
"Site","SITE8857","Analysis_srs0001",0,178,0,0,NA
"Site","SITE8997","Analysis_srs0001",4,178,2.24719101123596,2.24719101123596,NA
"Site","SITE9082","Analysis_srs0001",8,178,4.49438202247191,4.49438202247191,NA
"Site","SITE9142","Analysis_srs0001",0,178,0,0,NA
"Site","SITE9147","Analysis_srs0001",0,178,0,0,NA
"Site","SITE9346","Analysis_srs0001",1,178,0.561797752808989,0.561797752808989,NA
"Site","SITE9360","Analysis_srs0001",0,178,0,0,NA
"Site","SITE9395","Analysis_srs0001",0,178,0,0,NA
"Site","SITE9414","Analysis_srs0001",0,178,0,0,NA
"Site","SITE9418","Analysis_srs0001",0,178,0,0,NA
"Site","SITE9516","Analysis_srs0001",0,178,0,0,NA
"Site","SITE958","Analysis_srs0001",1,178,0.561797752808989,0.561797752808989,NA
"Site","SITE9580","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","SITE9604","Analysis_srs0001",0,178,0,0,NA
"Site","SITE9661","Analysis_srs0001",1,178,0.561797752808989,0.561797752808989,NA
"Site","SITE9737","Analysis_srs0001",8,178,4.49438202247191,4.49438202247191,NA
"Site","SITE9858","Analysis_srs0001",0,178,0,0,NA
"Site","SITE9884","Analysis_srs0001",0,178,0,0,NA
"Site","SITE9888","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
