"GroupID","GroupLevel","Numerator","Denominator","Metric"
"SITE7208","Site",7,91,0.0769230769230769
"SITE7246","Site",3,25,0.12
"SITE7543","Site",3,32,0.09375
"SITE759","Site",22,277,0.0794223826714801
"SITE7604","Site",8,105,0.0761904761904762
"SITE7734","Site",0,10,0
"SITE7809","Site",13,322,0.0403726708074534
"SITE7838","Site",5,32,0.15625
"SITE7860","Site",1,37,0.027027027027027
"SITE7913","Site",2,24,0.0833333333333333
"SITE7983","Site",11,413,0.026634382566586
"SITE8084","Site",7,38,0.184210526315789
"SITE8091","Site",4,224,0.0178571428571429
"SITE8210","Site",10,215,0.0465116279069767
"SITE8351","Site",48,440,0.109090909090909
"SITE8354","Site",11,194,0.056701030927835
"SITE8361","Site",1,14,0.0714285714285714
"SITE8420","Site",28,180,0.155555555555556
"SITE8517","Site",21,316,0.0664556962025316
"SITE8616","Site",0,27,0
"SITE8625","Site",48,557,0.0861759425493716
"SITE8627","Site",2,15,0.133333333333333
"SITE8633","Site",20,319,0.0626959247648903
"SITE8764","Site",13,162,0.0802469135802469
"SITE8768","Site",3,107,0.0280373831775701
"SITE8786","Site",22,345,0.063768115942029
"SITE8788","Site",18,283,0.0636042402826855
"SITE8799","Site",67,633,0.105845181674566
"SITE8835","Site",11,144,0.0763888888888889
"SITE8857","Site",9,73,0.123287671232877
"SITE8997","Site",8,49,0.163265306122449
"SITE9082","Site",2,20,0.1
"SITE9142","Site",68,808,0.0841584158415842
"SITE9147","Site",4,45,0.0888888888888889
"SITE9346","Site",79,570,0.13859649122807
"SITE9360","Site",38,436,0.0871559633027523
"SITE9395","Site",2,35,0.0571428571428571
"SITE9414","Site",15,194,0.077319587628866
"SITE9418","Site",6,45,0.133333333333333
"SITE9516","Site",4,42,0.0952380952380952
"SITE958","Site",49,497,0.0985915492957746
"SITE9580","Site",18,277,0.0649819494584837
"SITE9604","Site",17,127,0.133858267716535
"SITE9661","Site",16,190,0.0842105263157895
"SITE9737","Site",38,301,0.12624584717608
"SITE9766","Site",5,21,0.238095238095238
"SITE9858","Site",5,90,0.0555555555555556
"SITE9884","Site",5,61,0.0819672131147541
"SITE9888","Site",3,79,0.0379746835443038
