"studyid","invid","InvestigatorFirstName","InvestigatorLastName","site_status","site_active_dt","City","State","Country"
"AA-AA-000-0000","0X180","Fred","Doe","Active",2012-01-01,"London","Greater London","UK"
"AA-AA-000-0000","0X4874","John","Doe","Active",2012-01-01,"Tokyo","Kanto","Japan"
"AA-AA-000-0000","0X7011","John","Deer","Active",2012-01-01,"Foster City","CA","US"
"AA-AA-000-0000","0X8354","Fred","Deer","Active",2012-01-01,"Kumamoto","Kumamoto Prefecture","Japan"
"AA-AA-000-0000","0X4323","Joanne","Smith","Active",2012-01-01,"Foster City","CA","US"
"AA-AA-000-0000","0X5033","John","Smith","Active",2012-01-01,"Foster City","CA","US"
"AA-AA-000-0000","0X5384","Fred","Smith","Active",2012-01-01,"Milton Keynes","Buckinghamshire","UK"
"AA-AA-000-0000","0X9888","Joanne","Doe","Active",2012-02-01,"London","Greater London","UK"
"AA-AA-000-0000","0X6572","Fred","Smith","Active",2012-02-01,"Kumamoto","Kumamoto Prefecture","Japan"
"AA-AA-000-0000","0X7004","Joanne","Smith","Active",2012-02-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X6384","John","Doe","Active",2012-02-01,"Milton Keynes","Buckinghamshire","UK"
"AA-AA-000-0000","0X8420","John","Deer","Active",2012-02-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X2883","John","Doe","Active",2012-02-01,"Tokyo","Kanto","Japan"
"AA-AA-000-0000","0X2986","Joanne","Smith","Active",2012-02-01,"Foster City","CA","US"
"AA-AA-000-0000","0X4754","Fred","Doe","Active",2012-02-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X7208","Joanne","Smith","Active",2012-02-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X5425","Fred","Smith","Active",2012-02-01,"London","Greater London","UK"
"AA-AA-000-0000","0X4976","John","Deer","Active",2012-02-01,"London","Greater London","UK"
"AA-AA-000-0000","0X9661","Joanne","Smith","Active",2012-02-01,"London","Greater London","UK"
"AA-AA-000-0000","0X8210","John","Smith","Active",2012-02-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X7184","Fred","Smith","Active",2012-02-01,"Foster City","CA","US"
"AA-AA-000-0000","0X4260","Fred","Doe","Active",2012-02-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X216","Fred","Deer","Active",2012-02-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X9414","Fred","Deer","Active",2012-02-01,"London","Greater London","UK"
"AA-AA-000-0000","0X1786","John","Smith","Active",2012-02-01,"Tokyo","Kanto","Japan"
"AA-AA-000-0000","0X3871","Joanne","Deer","Active",2012-02-01,"London","Greater London","UK"
"AA-AA-000-0000","0X8857","Joanne","Smith","Active",2012-02-01,"London","Greater London","UK"
"AA-AA-000-0000","0X404","John","Smith","Active",2012-02-01,"Foster City","CA","US"
"AA-AA-000-0000","0X4072","John","Doe","Active",2012-02-01,"Tokyo","Kanto","Japan"
"AA-AA-000-0000","0X3081","John","Doe","Active",2012-02-01,"Tokyo","Kanto","Japan"
"AA-AA-000-0000","0X3719","Joanne","Smith","Active",2012-02-01,"Kumamoto","Kumamoto Prefecture","Japan"
"AA-AA-000-0000","0X7604","John","Deer","Active",2012-02-01,"Foster City","CA","US"
"AA-AA-000-0000","0X1748","John","Doe","Active",2012-02-01,"Kumamoto","Kumamoto Prefecture","Japan"
"AA-AA-000-0000","0X6832","Joanne","Doe","Active",2012-02-01,"Kumamoto","Kumamoto Prefecture","Japan"
"AA-AA-000-0000","0X1102","Fred","Smith","Active",2012-02-01,"Milton Keynes","Buckinghamshire","UK"
"AA-AA-000-0000","0X6410","Joanne","Deer","Active",2012-02-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X9082","Joanne","Doe","Active",2012-02-01,"Foster City","CA","US"
"AA-AA-000-0000","0X3319","Fred","Smith","Active",2012-02-01,"Kumamoto","Kumamoto Prefecture","Japan"
"AA-AA-000-0000","0X3938","Fred","Smith","Active",2012-02-01,"Foster City","CA","US"
"AA-AA-000-0000","0X9147","Fred","Doe","Active",2012-02-01,"Tokyo","Kanto","Japan"
"AA-AA-000-0000","0X4314","Joanne","Smith","Active",2012-02-01,"Milton Keynes","Buckinghamshire","UK"
"AA-AA-000-0000","0X3754","Joanne","Deer","Active",2012-02-01,"Foster City","CA","US"
"AA-AA-000-0000","0X5289","Joanne","Doe","Active",2012-02-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X5062","Joanne","Smith","Active",2012-02-01,"Foster City","CA","US"
"AA-AA-000-0000","0X9604","Fred","Smith","Active",2012-02-01,"Milton Keynes","Buckinghamshire","UK"
"AA-AA-000-0000","0X2980","Joanne","Smith","Active",2012-02-01,"Milton Keynes","Buckinghamshire","UK"
"AA-AA-000-0000","0X3068","Joanne","Deer","Active",2012-02-01,"Kumamoto","Kumamoto Prefecture","Japan"
"AA-AA-000-0000","0X1727","Fred","Smith","Active",2012-02-01,"London","Greater London","UK"
"AA-AA-000-0000","0X7096","Joanne","Doe","Active",2012-02-01,"London","Greater London","UK"
"AA-AA-000-0000","0X8835","John","Smith","Active",2012-02-01,"Foster City","CA","US"
"AA-AA-000-0000","0X2373","John","Doe","Active",2012-02-01,"London","Greater London","UK"
"AA-AA-000-0000","0X1544","John","Doe","Active",2012-02-01,"Tokyo","Kanto","Japan"
"AA-AA-000-0000","0X3415","Fred","Deer","Active",2012-02-01,"Foster City","CA","US"
"AA-AA-000-0000","0X3839","Fred","Deer","Active",2012-03-01,"Milton Keynes","Buckinghamshire","UK"
"AA-AA-000-0000","0X6991","Joanne","Smith","Active",2012-03-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X022","John","Doe","Active",2012-03-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X7838","Fred","Deer","Active",2012-03-01,"London","Greater London","UK"
"AA-AA-000-0000","0X8627","John","Smith","Active",2012-03-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X9395","Joanne","Doe","Active",2012-03-01,"Foster City","CA","US"
"AA-AA-000-0000","0X9884","Fred","Deer","Active",2012-03-01,"London","Greater London","UK"
"AA-AA-000-0000","0X8361","Joanne","Smith","Active",2012-03-01,"London","Greater London","UK"
"AA-AA-000-0000","0X4543","John","Deer","Active",2012-03-01,"Kumamoto","Kumamoto Prefecture","Japan"
"AA-AA-000-0000","0X2894","Fred","Doe","Active",2012-03-01,"Foster City","CA","US"
"AA-AA-000-0000","0X6440","Joanne","Smith","Active",2012-03-01,"Foster City","CA","US"
"AA-AA-000-0000","0X8084","John","Doe","Active",2012-03-01,"London","Greater London","UK"
"AA-AA-000-0000","0X5611","Joanne","Doe","Active",2012-03-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X2030","Joanne","Deer","Active",2012-03-01,"Tokyo","Kanto","Japan"
"AA-AA-000-0000","0X3077","Fred","Deer","Active",2012-03-01,"Milton Keynes","Buckinghamshire","UK"
"AA-AA-000-0000","0X4612","Joanne","Smith","Active",2012-03-01,"Foster City","CA","US"
"AA-AA-000-0000","0X4275","John","Deer","Active",2012-03-01,"Kumamoto","Kumamoto Prefecture","Japan"
"AA-AA-000-0000","0X4155","Joanne","Doe","Active",2012-03-01,"Milton Keynes","Buckinghamshire","UK"
"AA-AA-000-0000","0X6068","Fred","Doe","Active",2012-03-01,"Kumamoto","Kumamoto Prefecture","Japan"
"AA-AA-000-0000","0X1841","Joanne","Doe","Active",2012-03-01,"Tokyo","Kanto","Japan"
"AA-AA-000-0000","0X7246","Fred","Doe","Active",2012-03-01,"London","Greater London","UK"
"AA-AA-000-0000","0X7913","John","Doe","Active",2012-03-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X4597","Fred","Deer","Active",2012-03-01,"Tokyo","Kanto","Japan"
"AA-AA-000-0000","0X4703","John","Smith","Active",2012-03-01,"Kumamoto","Kumamoto Prefecture","Japan"
"AA-AA-000-0000","0X6184","Joanne","Deer","Active",2012-03-01,"Milton Keynes","Buckinghamshire","UK"
"AA-AA-000-0000","0X1935","Joanne","Doe","Active",2012-03-01,"Tokyo","Kanto","Japan"
"AA-AA-000-0000","0X6155","Fred","Doe","Active",2012-03-01,"Milton Keynes","Buckinghamshire","UK"
"AA-AA-000-0000","0X9766","Fred","Smith","Active",2012-03-01,"Tokyo","Kanto","Japan"
"AA-AA-000-0000","0X7860","John","Smith","Active",2012-03-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X9418","John","Deer","Active",2012-03-01,"Milton Keynes","Buckinghamshire","UK"
"AA-AA-000-0000","0X2657","John","Deer","Active",2012-03-01,"London","Greater London","UK"
"AA-AA-000-0000","0X3353","Fred","Smith","Active",2012-03-01,"Foster City","CA","US"
"AA-AA-000-0000","0X2062","John","Deer","Active",2012-03-01,"Kumamoto","Kumamoto Prefecture","Japan"
"AA-AA-000-0000","0X4028","Fred","Smith","Active",2012-03-01,"Kumamoto","Kumamoto Prefecture","Japan"
"AA-AA-000-0000","0X1934","John","Smith","Active",2012-03-01,"Tokyo","Kanto","Japan"
"AA-AA-000-0000","0X9516","Fred","Doe","Active",2012-03-01,"London","Greater London","UK"
"AA-AA-000-0000","0X6123","Fred","Deer","Active",2012-03-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X4424","Fred","Smith","Active",2012-03-01,"London","Greater London","UK"
"AA-AA-000-0000","0X4875","Fred","Doe","Active",2012-03-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X5217","Joanne","Smith","Active",2012-03-01,"Kumamoto","Kumamoto Prefecture","Japan"
"AA-AA-000-0000","0X3759","John","Doe","Active",2012-03-01,"Milton Keynes","Buckinghamshire","UK"
"AA-AA-000-0000","0X4671","John","Smith","Active",2012-03-01,"Milton Keynes","Buckinghamshire","UK"
"AA-AA-000-0000","0X7543","John","Smith","Active",2012-03-01,"Kumamoto","Kumamoto Prefecture","Japan"
"AA-AA-000-0000","0X8616","Joanne","Smith","Active",2012-03-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X8768","Fred","Deer","Active",2012-03-01,"Foster City","CA","US"
"AA-AA-000-0000","0X5185","Fred","Deer","Active",2012-03-01,"Milton Keynes","Buckinghamshire","UK"
"AA-AA-000-0000","0X8997","Fred","Smith","Active",2012-03-01,"Kumamoto","Kumamoto Prefecture","Japan"
"AA-AA-000-0000","0X2923","Fred","Doe","Active",2012-03-01,"Kumamoto","Kumamoto Prefecture","Japan"
"AA-AA-000-0000","0X2354","John","Deer","Active",2012-03-01,"Milton Keynes","Buckinghamshire","UK"
"AA-AA-000-0000","0X1273","Joanne","Deer","Active",2012-03-01,"London","Greater London","UK"
"AA-AA-000-0000","0X1233","Joanne","Deer","Active",2012-03-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X4744","Joanne","Deer","Active",2012-03-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X7734","Fred","Doe","Active",2012-03-01,"Newtown Square","PA","US"
"AA-AA-000-0000","0X4980","Joanne","Deer","Active",2012-03-01,"Newtown Square","PA","US"
